id,views,likes,shares,duration,description,url
7303256736117345569,597700,48200,797,60,Im here broski. Winning @Ferg Solo Tournament with highest kills as a winner. #codm #callofdutymobile #callofdutymobileclips #codmclips #codmobile #codmbr #codmobileclips ,https://www.tiktok.com/@akmancodm/video/7303256736117345569
7288019005284060449,500500,40500,506,30,Final zone clutch @LotexYT  #codm #callofdutymobile #callofdutymobileclips #codmclips #codmbr #codmobileclips #codmobile ,https://www.tiktok.com/@akmancodm/video/7288019005284060449
7084039342171229445,379900,27100,418,15,prediction level overextended #codm #fy #callofduty #codmmontage #montage #codmclips #callofduty_mobile #codmobileclips #codmobile #callofdutymobile #,https://www.tiktok.com/@akmancodm/video/7084039342171229445
7397329281430392096,126700,15600,270,58,He didnt know why the door is not opening...  #akmancodm #codmobile,https://www.tiktok.com/@akmancodm/video/7397329281430392096
7397190544054586656,199700,23900,863,302,they did me dirty... #akmancodm #codmobile,https://www.tiktok.com/@akmancodm/video/7397190544054586656
7396771694620347680,260500,31500,1017,27,Lilly x Akman pt. 4 #akmancodm #codmobile,https://www.tiktok.com/@akmancodm/video/7396771694620347680
7396531054330383649,263100,34400,992,17,WHY ACTIVISION !!!!!!!  #akmancodm #codmobile,https://www.tiktok.com/@akmancodm/video/7396531054330383649
7396529309168569633,248500,30300,955,106,Lilly x Akman pt. 3 #akmancodm #codmobile,https://www.tiktok.com/@akmancodm/video/7396529309168569633
7396447106975812896,197500,26300,651,80,Lilly x Akman pt2  #akmancodm #codmobile,https://www.tiktok.com/@akmancodm/video/7396447106975812896
7396406174574202145,135000,13700,408,28,why always me  @noone.amk @vengeance_og @albozzOG  #akmancodm #codmlive ,https://www.tiktok.com/@akmancodm/video/7396406174574202145
7396350405187308832,123300,10500,171,68,he didnt deserve this @miturdeath  on 80ms #akmancodm #codmobile,https://www.tiktok.com/@akmancodm/video/7396350405187308832
7396196884626279712,161300,10700,194,33,intense endzone with pistol + shotgun  @akmanlive  #akmancodm #codmobile,https://www.tiktok.com/@akmancodm/video/7396196884626279712
7396073444984605985,458300,61500,1854,65,CHAT we found LILLY #akmancodm #codmobile,https://www.tiktok.com/@akmancodm/video/7396073444984605985
7395982568857898272,192600,18700,338,34,dont shoot dont shoot buddy @akmanlive  #akmancodm #codmobile,https://www.tiktok.com/@akmancodm/video/7395982568857898272
7396404712360135982,551600,66100,348,12,What Kinda Business Is Riot Running 💀 💀 #fyp #valorant #val #valorantfunny #valorantedit #vct #vctchampions #aimvalorant ,https://www.tiktok.com/@dailyvaluploads/video/7396404712360135982
7396283701954383146,167300,10100,63,110,TenZ Explains Why Counter Strafing Is Useless & Why Shroud Has The Best Movement #fyp #valorant #val #valorantfunny #valorantedit #vct #vctchampions #aimvalorant ,https://www.tiktok.com/@dailyvaluploads/video/7396283701954383146
7395100086415461675,960900,59700,1119,67,1 Minute Of Kyedae Getting Mad At TenZ #fyp #valorant #val #valorantfunny #valorantedit #vct #vctchampions #aimvalorant ,https://www.tiktok.com/@dailyvaluploads/video/7395100086415461675
7394781406838181162,295400,13900,200,61,When Kyedae Exposed She Has Attachment Issues With TenZ #fyp #valorant #val #valorantfunny #valorantedit #vct #vctchampions #aimvalorant,https://www.tiktok.com/@dailyvaluploads/video/7394781406838181162
7394703504830434603,1100000,90500,283,61,When TenZ Found Out Neon's Wall Didnt Do Damage Anymore #fyp #valorant #val #valorantfunny #valorantedit #vct #vctchampions #aimvalorant ,https://www.tiktok.com/@dailyvaluploads/video/7394703504830434603
7392769638972575018,116000,5278,99,109,TenZ Leaks How He SETUP True Stretched In VCT And How You Can Do It #fyp #valorant #val #valorantfunny #valorantedit #vct #vctchampions #aimvalorant ,https://www.tiktok.com/@dailyvaluploads/video/7392769638972575018
7366336951638707488,2300000,337000,2919,20,insane sage highlights! #valorant #valorantclips #valorantgaming #valorantfunny #sage #radiant,https://www.tiktok.com/@thanavalorant/video/7366336951638707488
7357978167967108384,3100000,291400,985,10,I just hit a clip! #valorant #valorantmemes #valorantfunny #valorantgaming ,https://www.tiktok.com/@thanavalorant/video/7357978167967108384
7346636479726226730,2500000,181100,2268,52,THIS IS VALORANTTTTT #valorant #csgo #valorantmoments #prx #edg ,https://www.tiktok.com/@valorantrewind/video/7346636479726226730
7350010915690908971,4600000,317400,977,8,@TenZ is tooo good#valorant #valorantclips #tenz #hospitalflick #valorantmoments #sentinels #val #sen ,https://www.tiktok.com/@valorantrewind/video/7350010915690908971
7349628297954823466,2800000,172500,546,32,The 🐐 @TenZ #valorant #tenz #sentinels #prx #valorantclips #vct #clutch ,https://www.tiktok.com/@valorantrewind/video/7349628297954823466
7394274940775714090,126300,8522,162,60,VCT Champions 2024 gonna be awesome 😂 #valorantclips #vctchampions #vctamericas #prx #leviatan #sentinels ,https://www.tiktok.com/@valorantrewind/video/7394274940775714090
7394267669416938795,183300,8968,59,78,"Ggs, lev win americas! #valorantclips #valoranthighlights #leviatan #aspas @Erick Santos #vct #vctchampions ",https://www.tiktok.com/@valorantrewind/video/7394267669416938795
7394214905496276266,123700,5039,56,61,My goat!!! #valorantclips @Erick Santos @LEVIATAN @G2 Esports #g2  #aspas #valorantmoments #valoranthighlights #vctamericas ,https://www.tiktok.com/@valorantrewind/video/7394214905496276266
7020794534980242694,2100000,263500,2284,7,Am I legit?? #fyp #foryou #valorant #valorantclips #edit #slowmo #hospitalflick #satisfying #viral #fypシ #valorantindonesia #valorantreyna #fy,https://www.tiktok.com/@evnii_/video/7020794534980242694
7380376244895993121,119000,8679,75,21,aimer #valorant #fyp #foryou #foryoupage #valorantclips #valorantgaming #val ,https://www.tiktok.com/@evnii_/video/7380376244895993121
7378560012399971617,251400,1468,20,72,lol #valorant #fyp #foryou #foryoupage #valorantclips #valorantgaming #val ,https://www.tiktok.com/@evnii_/video/7378560012399971617
7040647018984885509,862300,169600,413,33,when they think you’re @kaemiii_ 😂💀#valorant #valorantclips #valorantgaming,https://www.tiktok.com/@juicisushi/video/7040647018984885509
7001513021029879045,3600000,174900,770,10,People either hate or love this audio 😂      #valorant #valorantclips #valorantgaming,https://www.tiktok.com/@juicisushi/video/7001513021029879045
7044726381829262598,2300000,225400,905,28,we just gave up lol. 😔 #valorant #valorantclips #valorantgaming,https://www.tiktok.com/@juicisushi/video/7044726381829262598
7083657692828421382,378900,15800,356,28,An useful app to have! #valorant #valorantclips #valorantgaming,https://www.tiktok.com/@juicisushi/video/7083657692828421382
7078099370549267717,767900,74000,1175,25,"3 winners - 10,000 VP + a feature 😳 #valorant #valorantclips #llcchallenge",https://www.tiktok.com/@juicisushi/video/7078099370549267717
7076456830016228614,192500,23800,108,26,"Faking to be a clone is fun, when it works...  #valorant #valorantclips #llcchallenge",https://www.tiktok.com/@juicisushi/video/7076456830016228614
7054947671471230213,196600,22500,338,21,toxic and drawing when bottom frag 🤦‍♂️ #valorant #valorantclips #valorantgaming,https://www.tiktok.com/@juicisushi/video/7054947671471230213
