id,views,likes,shares,duration,description,url
ZXatC-TJmkc,381,14,N/A,57,IM SO GRATEFUL THANK YOU TARIK!-----------------------------------------------------------------------------------------------------------bio:hi everyone! i'...,https://www.youtube.com/shorts/ZXatC-TJmkc
X2dP7G7r96k,10066,97,N/A,14,did he deserve it??-----------------------------------------------------------------------------------------------------------bio:hi everyone! i'm banshee :)...,https://www.youtube.com/shorts/X2dP7G7r96k
2Vdy2kyMsKU,36,8,N/A,18,poor ben was shocked------------------------------------------------------------------------------------------------------------bio:hi everyone! i'm banshee ...,https://www.youtube.com/shorts/2Vdy2kyMsKU
O1m88pqsTxY,29,3,N/A,19,Enjoyed the clutch? Hit the like button and subscribe for more epic Valorant moments! Your support helps us bring you the best content!,https://www.youtube.com/shorts/O1m88pqsTxY
zBnLqwfd9r4,419,7,N/A,53,,https://www.youtube.com/shorts/zBnLqwfd9r4
YwoX6tzVWdg,1,N/A,N/A,14,AITA for not just showing him mercy I mean it is what it is and that's what happens in valorant #shorts #gaming #funnymoments #valorant #valorantmoments #png...,https://www.youtube.com/shorts/YwoX6tzVWdg
Tq1WJHg6WB8,98,2,N/A,13,It was funny we waited for him to get all the way back up to leave for the content#shorts #gaming #funnymoments #contentwarning #contentwarninggameplay #pngt...,https://www.youtube.com/shorts/Tq1WJHg6WB8
U2BjXLl2jS0,1,N/A,N/A,4,MUST watch https://youtube.com/shorts/L7PfdUGycUw?feature=shareHere also https://youtube.com/shorts/uiHuC05bn78?feature=share#kyedaereact #valorantskye #valo...,https://www.youtube.com/shorts/U2BjXLl2jS0
s1DAEv3iVmw,415,15,N/A,16,#valorant #valorantclips #shortsfeed #shorts #viral #cupid #funny #funnyvalorant Welcome to our Valorant channel!Step into the world of Valorant with us! I'm...,https://www.youtube.com/shorts/s1DAEv3iVmw
UkmQChhY0mA,0,N/A,N/A,8,,https://www.youtube.com/shorts/UkmQChhY0mA
KtqmuII8xhI,439,8,N/A,14,,https://www.youtube.com/shorts/KtqmuII8xhI
I_34ugMwYNk,0,N/A,N/A,24,Aggressive reyna looks like #shorts #ytshorts #valorant #valorantclipsyour Queries :-valorant tournament highlightsvalorant stream highlightsvalorant match h...,https://www.youtube.com/shorts/I_34ugMwYNk
jAncauSmSzo,465,9,N/A,11,#valorant #valorantclips #valorantshorts,https://www.youtube.com/shorts/jAncauSmSzo
3ZCpMJcEQ-w,709,N/A,N/A,45,"⮞ If you guys enjoy watching this, please drop a like and subscribe ;)----------------------------------------------------Follow my social media! TIKTOK : ht...",https://www.youtube.com/shorts/3ZCpMJcEQ-w
pGD7RHjS_ec,343,N/A,N/A,27,,https://www.youtube.com/shorts/pGD7RHjS_ec
